,MAE,MSE,RMSE,R2,set,modelo
0,487.1917808219178,683562.5479452055,826.7784152632466,0.6833263861349115,test,DT Registrado I
1,0.0,0.0,0.0,1.0,train,DT Registrado I
0,522.6206599238276,535196.3210003129,731.5711318800878,0.7520599195963339,test,DT Registrado II
1,463.596509406792,396146.5138210135,629.4017110089657,0.8411016495536626,train,DT Registrado II
0,639.3731669490612,661343.5561000931,813.2303216802071,0.6936197652341343,test,DT Registrado III
1,587.0098594766279,592526.3959511947,769.7573617388759,0.7623317039839013,train,DT Registrado III
0,682.8673004093998,691956.7943653017,831.8394041912788,0.6794375886027519,test,RF Registrado I
1,710.5316253183152,786935.9476516157,887.0941030418451,0.6843520777636737,train,RF Registrado I
0,694.8375902526244,675448.3027950848,821.8566193656195,0.6870854676457404,test,RF Registrado II
1,702.4234044124852,765997.6460383851,875.212914688983,0.692750641101766,train,RF Registrado II
0,676.1836955856224,652618.656954731,807.8481645425278,0.6976617440571047,test,RF Registrado III
1,695.5214898000863,757751.4782228402,870.4892177522019,0.6960582619381966,train,RF Registrado III
